,Afghanistan,Armenia,Australia,Azerbaijan,Bahrain,Bangladesh,Belarus,Brunei,Cambodia,China,Cyprus,Estonia,Fiji,Georgia,HongKongSARChina,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Malaysia,Moldova,Mongolia,Myanmar,Nepal,NewZealand,Oman,Pakistan,PapuaNewGuinea,Philippines,Qatar,Russia,SaudiArabia,Singapore,SriLanka,Tajikistan,Thailand,Tonga,Turkey,UnitedArabEmirates,Uzbekistan,Vanuatu,Vietnam,Yemen,SouthKorea,Syria,Bhutan
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,2,1,2,,1,2,2,,1,1,2,1,2,,2,2,,2,2,2,1,2,2,1,,1,2,1,2,1,2,2,,2,2,,2,2,2,1,,2,,1,2,2,2,2,1,2,,2,2,,2
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,1,,,1,,,,1,,,,,,2,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,2,2,1,,,,,,
Bahrain,,,2,,,,,2,,2,2,2,,,2,3,3,,,,2,3,2,,1,,,2,,2,2,,,,,2,1,3,,,1,2,1,2,,3,2,,2,1,,,,,2,,
Bangladesh,2,2,2,2,2,,2,,2,2,2,2,1,2,,,,,,,2,,2,2,2,2,,2,2,2,2,2,,,,2,2,,1,,2,2,2,2,,2,,1,,2,2,,,2,2,,1
Belarus,,1,,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,1,1,,2,,1,,,1,1,1,,,,,,
Brunei,,,2,,2,,,,1,,1,1,,,1,,1,,,,1,,,,2,,1,1,,1,,,,1,,1,1,,,1,2,,2,1,,,1,,,1,,,1,,1,,
Cambodia,,2,2,2,3,,2,2,,2,2,2,2,2,2,2,1,,,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,2,1,2,2,2,1,,2,1,2,2,2,2,2,1,2,2,2,2
China,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cyprus,,,1,,,,,1,,,,1,,,1,,,,,1,1,,,,,,,1,,1,1,1,,,,1,,,,,,,,1,,,,,,1,,1,,,1,,
Estonia,,,1,,,,,,,,1,,,,1,,,,,1,1,,,,,,,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,1,,,1,,
Fiji,,,1,,,1,,1,,1,1,1,,,1,1,1,,,1,1,,,1,,,,1,,,1,1,,,,1,,,1,1,,1,,1,,,1,1,1,1,,1,,,1,,
Georgia,,1,1,1,1,,1,1,,3,1,1,3,,,3,3,3,,1,1,3,1,3,1,1,,1,1,1,1,1,3,,,1,1,,3,3,1,1,1,1,,1,1,3,1,1,1,3,3,,1,,
HongKongSARChina,,,1,,,,,1,,,,,,,,1,1,,,1,1,,1,,,,,,,,1,,1,,,1,,,,1,,1,,1,,,1,,,,,,,,1,,1
India,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Indonesia,,,2,,1,,2,1,1,1,2,2,2,,1,2,,,,,1,,,,1,,2,2,,2,1,,,1,,1,1,,,1,1,1,2,1,,,1,,2,1,,,1,,1,,
Iran,,2,2,1,2,,2,,2,2,2,2,2,2,2,,2,,,,2,,,2,2,,3,2,2,2,1,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,2,2,1,2,,2,2,2,2,1,2
Iraq,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
Israel,,,1,,,,,,,,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,1,,,,1,,1,,1,,,,1,,,,1,,,1,,
Japan,,,1,,,,,1,,,1,1,,,1,1,1,,,1,,,,,,,,1,,1,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,1,,
Jordan,,2,2,2,1,,2,2,,2,1,2,2,2,2,2,2,,,2,2,,2,2,1,2,,2,1,2,1,,,,,2,1,,2,,1,2,1,2,,2,2,2,1,1,2,2,,1,2,,2
Kazakhstan,,1,1,1,,,1,,,,,,,1,1,,,,,,1,,,,,1,,,,,1,1,1,,,,,,,,,1,,1,,1,,,1,1,1,,,,1,,
Kiribati,,,1,,,,,,,,1,1,1,,1,,,,,1,1,,,,,,,1,,1,1,,,,,1,,,,,,,,1,,,,1,,,,1,,,1,,
Kuwait,,,2,,1,,,2,2,,2,2,,2,2,,,,,,2,,,,,,2,2,,2,2,,,2,,2,1,,,,1,,1,2,,,,,2,1,,,2,,2,,2
Kyrgyzstan,,1,1,1,1,,1,,,,2,1,,1,,,2,,,2,1,,1,,1,,,1,,1,1,1,1,,,1,2,,,2,1,1,1,1,,1,2,,1,1,1,,1,,1,,
Laos,,2,2,2,2,,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,,2,2,2,2,,2,2,2,1,2,1,1,2,2,2,,2,1,2,1,2,1,,2,1,,,2,2,2,1,2,1,,2
Latvia,,,1,,,,,1,,,1,1,,,1,,,,,1,1,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,1,,1,,,1,,
Lebanon,,2,2,2,1,,2,,,2,1,2,,2,2,,,2,,,2,1,2,,1,2,,2,,2,1,2,,,,2,1,,,,1,2,1,1,,1,,,2,1,2,,,,2,,2
Lithuania,,,1,,,,,1,,,1,1,,,1,,,,,1,1,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,1,,1,,,1,,
Malaysia,,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,
Moldova,,1,1,1,,,1,,,,1,1,,1,1,3,3,,,1,1,,1,,,1,,1,3,1,1,,,,,1,,,,,,1,,1,,1,,,1,,1,,,,1,,
Mongolia,,,,,,,1,,,,1,1,,1,1,,,,,1,1,,1,,,1,1,1,,1,1,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,
Myanmar,,,3,,,3,3,3,1,3,3,3,3,3,3,3,1,,,3,3,,3,3,3,,1,3,,3,2,,3,,3,3,,3,3,1,3,3,3,3,3,,1,3,3,,,3,1,,3,,
Nepal,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
NewZealand,,,1,,1,,,1,,,,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,1,,,,1,,1,1,,,,,,1,,,,,1,,
Oman,,,2,,1,,,2,,,2,2,,,2,,2,,,,2,,,,1,,,2,2,2,2,2,,,,2,,,,,1,,1,2,,,2,,2,1,,,,,2,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,
PapuaNewGuinea,,,,,,,,2,,,1,2,2,,2,,2,,,2,2,,,2,,,,2,,2,1,,,,,2,,,,2,,,,2,,,2,2,,,,2,2,,2,,
Philippines,,,1,,1,,,1,1,,1,1,1,,1,2,1,,,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1
Qatar,,,2,,1,,2,2,,,2,,,,2,,,,,,2,,,,1,,,,,,2,,,,,2,1,,,,,,1,2,,3,,,2,1,,,,,2,,
Russia,,1,,1,,,1,,,,,,1,,1,,,,,1,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,1,1,,1,,1,,,,1,,
SaudiArabia,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
Singapore,,,1,,1,,,1,1,3,1,1,1,,1,,1,,,1,1,,3,1,1,,1,1,,1,1,,1,,1,1,1,,1,1,1,,,,1,3,1,1,1,1,,1,1,,1,,1
SriLanka,,,,,,,,3,,,,,2,,,,,,,,,,,2,,,3,,,,1,,2,2,,,,,2,,,,,1,,2,,2,,,,2,,,,,2
Tajikistan,,1,2,1,2,,1,,,2,2,2,,1,2,,2,2,,2,2,2,1,,2,1,,2,2,2,2,1,2,,,2,2,,,2,2,1,2,2,,,2,,2,2,,,2,2,2,2,
Thailand,,,1,,1,,,1,1,2,2,1,,,1,2,1,,,1,1,,2,,1,,1,2,,2,1,,1,1,,1,1,,,1,1,1,2,1,,3,,,1,1,2,,1,,1,,2
Tonga,,,2,,,,,1,,,1,2,2,,2,,,,,2,2,,,2,,,,2,,2,1,,,,,2,,,2,,,2,,2,,,,,2,,,2,,,2,,
Turkey,,3,3,1,3,,1,1,,,3,1,,1,1,,3,1,2,1,1,1,1,,3,1,,1,1,1,,1,1,,,1,3,,,,3,1,3,1,,,1,,,3,1,,,,1,1,
UnitedArabEmirates,,,2,,1,,,1,,,1,1,,,2,,,,,,1,,,,1,,,1,,1,1,,,,,2,1,,,,1,,1,1,,,,,,,,,,,2,,
Uzbekistan,,1,,1,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,
Vanuatu,,,1,1,1,1,1,1,,1,1,1,1,,1,1,,,,1,1,,,1,1,,,1,,1,1,,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,,,1,,
Vietnam,,,,,,,1,1,1,,,,,,,1,1,,,,1,,,,,1,1,,3,,1,,,1,,,,,,1,,1,,1,,3,1,,,,,,,,1,,
Yemen,,,,,2,,,,,,,,,,,,,,2,,,2,,,2,,,,,,1,,,,,,2,,,,2,,2,,,,,,,2,,,,,,2,
SouthKorea,,,1,,1,,,1,,,1,1,1,,1,,,,,1,1,,1,1,1,,1,1,,1,1,,,,,1,1,,,,1,1,1,1,,,1,,1,1,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Bhutan,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
